x_m,y_m
8.870699575024403316e+00,5.696031382804764398e+00
8.665797455188867460e+00,5.901580370835559641e+00
8.369671472111077648e+00,5.939516396552972033e+00
8.069744097061445132e+00,5.938214626911976879e+00
7.771512023890535303e+00,5.963497381178064494e+00
7.472724798238854049e+00,5.955471201417237737e+00
7.201120496658401926e+00,5.833049489478298710e+00
6.981292590219171146e+00,5.629808768090150295e+00
6.824773913494766475e+00,5.375245812235589504e+00
6.752267116814692827e+00,5.084927275757612719e+00
6.724793056945820524e+00,4.786299296580089901e+00
6.729999999999915161e+00,4.486257179863655686e+00
6.729999999999915161e+00,4.186102635263223348e+00
6.729999999999915161e+00,3.885948090662790122e+00
6.730186740309472171e+00,3.585974320554200734e+00
6.761765683055440235e+00,3.287619898054745082e+00
6.769165659798071388e+00,2.987863436180699050e+00
6.720463836044295647e+00,2.691814593403420108e+00
6.677456689791140043e+00,2.394804103668032536e+00
6.566182760020661924e+00,2.118241202396615730e+00
6.340975722379156743e+00,1.924278630769200804e+00
6.059192534532633623e+00,1.824438036911297134e+00
5.761544132139907681e+00,1.787294099990324625e+00
5.462893099073745873e+00,1.759440194936549462e+00
5.167189229521353511e+00,1.708085389226764006e+00
4.867940046631942685e+00,1.687151671761040195e+00
4.567893510242257094e+00,1.689999999999978408e+00
4.267738965641825644e+00,1.689999999999978408e+00
3.967584421041391529e+00,1.689999999999978408e+00
3.667429876440959191e+00,1.689999999999978408e+00
3.367275331840528629e+00,1.689999999999978408e+00
3.067120787240093183e+00,1.689999999999978408e+00
2.767166580957418187e+00,1.690774114901802294e+00
2.468362555614054266e+00,1.718921389990509585e+00
2.169271667608974496e+00,1.743445491902104738e+00
1.870257144042682729e+00,1.768720720931707735e+00
1.571168465538053338e+00,1.793266911384427731e+00
1.272151732471310526e+00,1.818520051872905663e+00
9.730407684468760365e-01,1.842708262651320261e+00
6.729961547921092802e-01,1.839999999999976321e+00
3.729218554336722335e-01,1.837029114420688725e+00
7.316472551911450128e-02,1.847957246797155451e+00
-2.254242661520604596e-01,1.878538898851622285e+00
-5.250307872543038545e-01,1.893912278577508435e+00
-8.250933940938360855e-01,1.889999999999975699e+00
-1.125247938694271754e+00,1.889999999999975699e+00
-1.425402483294705647e+00,1.889999999999975699e+00
-1.725557027895141537e+00,1.889999999999975699e+00
-2.025711572495576984e+00,1.889999999999975699e+00
-2.325629245951501556e+00,1.899513240565417371e+00
-2.620526074875286326e+00,1.858234481013643746e+00
-2.874790868825223722e+00,1.700633140225907614e+00
-3.081709873187153725e+00,1.484277520298950659e+00
-3.215991441600169587e+00,1.218227022055927478e+00
-3.235350733403784762e+00,9.194743081896920023e-01
-3.204131329239970682e+00,6.235071083485314025e-01
-3.034900714515655906e+00,3.783166634183425803e-01
-2.789816694853725298e+00,2.070020529093890838e-01
-2.503195758438457208e+00,1.329509350377882648e-01
-2.203208845863295462e+00,1.311184413943051741e-01
-1.904619854192118433e+00,1.005367893398382839e-01
-1.604896062775273080e+00,8.541245375457164057e-02
-1.305904647204118474e+00,6.081827580717161230e-02
-1.006761106886703505e+00,3.711929812961192732e-02
-7.067141260915634771e-01,3.999999999999951511e-02
-4.066879181127611709e-01,4.186874789107578737e-02
-1.076735352667147760e-01,1.636305756873142336e-02
1.912248583867064977e-01,-1.062847463210822054e-02
4.910893900450687410e-01,-4.952443763743114707e-03
7.885795719202669529e-01,-4.135314729883203533e-02
1.083198302461187756e+00,-9.856974990705964779e-02
1.382434437112689318e+00,-1.139767841711112895e-01
1.682496242764103700e+00,-1.099999999999984462e-01
1.982650787364527156e+00,-1.099999999999984462e-01
2.282805331964957496e+00,-1.099999999999984462e-01
2.582959876565380952e+00,-1.099999999999984462e-01
2.883114421165807517e+00,-1.099999999999984462e-01
3.183268965766237635e+00,-1.099999999999984462e-01
3.483418173841825727e+00,-1.098089219591485977e-01
3.783284299297490882e+00,-1.135200361311154565e-01
4.081957198815950427e+00,-1.431823388146905851e-01
4.381297671012839068e+00,-1.638939781102024540e-01
4.681358514652175451e+00,-1.599999999999978384e-01
4.981513059252602460e+00,-1.599999999999978384e-01
5.281667603853033022e+00,-1.599999999999978384e-01
5.581743549373952895e+00,-1.628383490527685884e-01
5.881521883152236008e+00,-1.525360526919703752e-01
6.180110874823409262e+00,-1.219544006375038320e-01
6.479696099627434869e+00,-1.059636270360731214e-01
6.779679591916041304e+00,-1.127771200449993044e-01
7.079465201051268863e+00,-1.027208777176224219e-01
7.378377844136886132e+00,-7.612551890032032142e-02
7.677177734759740524e+00,-4.816682710118542349e-02
7.973160122314213005e+00,-2.704005168806165871e-03
8.264376866516466080e+00,6.974154462693295253e-02
8.546004928481565344e+00,1.699194068849020633e-01
8.753667554400854200e+00,3.803434057380123412e-01
8.822061908179993139e+00,6.697920776506220975e-01
8.848837231098896083e+00,9.686889620499041786e-01
8.876622647680937561e+00,1.267193552442227311e+00
8.908568419983204478e+00,1.565488593793106897e+00
8.947417525672870298e+00,1.862951953280074679e+00
9.029050214424023224e+00,2.151523673295554495e+00
9.127853065746581507e+00,2.434734790389180059e+00
9.176313003163745208e+00,2.729930136706983923e+00
9.183045882870695564e+00,3.029903214449706894e+00
9.179999999999882476e+00,3.329976582308492361e+00
9.180891274761911802e+00,3.629184417626840187e+00
9.103745494826080531e+00,3.918927872391622547e+00
9.027942467470245091e+00,4.208979386746324991e+00
9.031633396423503157e+00,4.508143894900297433e+00
9.009236163684210652e+00,4.807352482541466188e+00
8.962624867923572936e+00,5.103746831224119873e+00
8.916855574720070621e+00,5.400053594657504341e+00
